AY_ID,EXAM_ID,SUB_ID,ADMNO,MARKS_OBTAINED
2022-2023,FINAL,CA,1413,20
2022-2023,FINAL,CA,1423,20
2022-2023,FINAL,CA,1439,15
2022-2023,FINAL,CA,1456,17
2022-2023,FINAL,CA,1589,22
2022-2023,FINAL,CA,1634,45.5
2022-2023,FINAL,CA,1635,38
2022-2023,FINAL,CA,1636,26
2022-2023,FINAL,CA,1637,39
2022-2023,FINAL,CA,1638,37.5
2022-2023,FINAL,CA,1640,31
2022-2023,FINAL,CA,1641,26
2022-2023,FINAL,CA,1642,14.5
2022-2023,FINAL,CA,1643,41
2022-2023,FINAL,CA,1644,38
2022-2023,FINAL,CA,1645,30
2022-2023,FINAL,CA,1646,40
2022-2023,FINAL,CA,1647,47
2022-2023,FINAL,CA,1648,31
2022-2023,FINAL,CA,1649,41
2022-2023,FINAL,CA,1650,38.5
2022-2023,FINAL,CA,1654,36.5
2022-2023,FINAL,CA,1655,38
2022-2023,FINAL,CA,1656,41
2022-2023,FINAL,CA,1657,35
2022-2023,FINAL,CA,1659,26
2022-2023,FINAL,CA,1660,35
2022-2023,FINAL,CA,1662,42
2022-2023,FINAL,CA,1664,77
2022-2023,FINAL,CA,1667,41
2022-2023,FINAL,CA,1670,24
2022-2023,FINAL,CA,1671,42
2022-2023,FINAL,CA,1673,41
2022-2023,FINAL,CA,1674,24
2022-2023,FINAL,CA,1676,33
2022-2023,FINAL,CA,1677,24
2022-2023,FINAL,CA,1679,26.5
2022-2023,FINAL,CA,1680,38
2022-2023,FINAL,CA,1681,28
2022-2023,FINAL,CA,1683,29
2022-2023,FINAL,CA,1685,30
2022-2023,FINAL,CA,1686,92
2022-2023,FINAL,CA,1687,31
2022-2023,FINAL,CA,1688,36
2022-2023,FINAL,CA,1689,32.5
2022-2023,FINAL,CA,1695,40.5
2022-2023,FINAL,CA,1696,31
2022-2023,FINAL,CA,1698,32.5
2022-2023,FINAL,CA,1699,13
2022-2023,FINAL,CA,1700,28
2022-2023,FINAL,CA,1703,59
2022-2023,FINAL,CA,1704,30
2022-2023,FINAL,CA,1705,11
2022-2023,FINAL,CA,1706,32
2022-2023,FINAL,CA,1709,36
2022-2023,FINAL,CA,1710,35
2022-2023,FINAL,CA,1711,30
2022-2023,FINAL,CA,1712,35
2022-2023,FINAL,CA,1714,70
2022-2023,FINAL,CA,1715,39
2022-2023,FINAL,CA,1716,28
2022-2023,FINAL,CA,1717,29
2022-2023,FINAL,CA,1718,39
2022-2023,FINAL,CA,1720,19
2022-2023,FINAL,CA,1721,43
2022-2023,FINAL,CA,1722,23
2022-2023,FINAL,CA,1724,32
2022-2023,FINAL,CA,1725,47
2022-2023,FINAL,CA,1726,36
2022-2023,FINAL,CA,1727,29
2022-2023,FINAL,CA,1728,46
2022-2023,FINAL,CA,1731,47
2022-2023,FINAL,CA,1732,29
2022-2023,FINAL,CA,1745,11
2022-2023,FINAL,CA,1746,34.5
2022-2023,FINAL,CA,1749,26.5
2022-2023,FINAL,CA,1751,45
2022-2023,FINAL,CA,1753,27
2022-2023,FINAL,CA,1754,21
2022-2023,FINAL,CA,1755,74
2022-2023,FINAL,CA,1757,32
2022-2023,FINAL,CA,1758,31
2022-2023,FINAL,CA,1760,29
2022-2023,FINAL,CA,1762,44
2022-2023,FINAL,CA,1764,24
2022-2023,FINAL,CA,1767,34
2022-2023,FINAL,CA,1769,30
2022-2023,FINAL,CA,1770,38
2022-2023,FINAL,CA,1771,12
2022-2023,FINAL,CA,1772,47
2022-2023,FINAL,CA,1776,34.5
2022-2023,FINAL,CA,1779,30.5
2022-2023,FINAL,CA,1788,47
2022-2023,FINAL,CA,1800,21
2022-2023,FINAL,CA,1814,18
2022-2023,FINAL,CA,1820,7.5
2022-2023,FINAL,CA,1833,38
2022-2023,FINAL,CA,1836,34
2022-2023,FINAL,CA,1837,40.5
2022-2023,FINAL,CA,1844,78
2022-2023,FINAL,CA,1845,89
2022-2023,FINAL,CA,1846,96
2022-2023,FINAL,CA,1848,85
2022-2023,FINAL,CA,1851,93
2022-2023,FINAL,CA,1853,90
2022-2023,FINAL,CA,1855,90
2022-2023,FINAL,CA,1856,79
2022-2023,FINAL,CA,1857,78
2022-2023,FINAL,CA,1858,90
2022-2023,FINAL,CA,1859,79
2022-2023,FINAL,CA,1860,92
2022-2023,FINAL,CA,1862,93
2022-2023,FINAL,CA,1863,58
2022-2023,FINAL,CA,1865,82
2022-2023,FINAL,CA,1868,81.5
2022-2023,FINAL,CA,1869,63
2022-2023,FINAL,CA,1870,82.5
2022-2023,FINAL,CA,1872,91
2022-2023,FINAL,CA,1873,83.5
2022-2023,FINAL,CA,1875,79
2022-2023,FINAL,CA,1876,74
2022-2023,FINAL,CA,1878,97
2022-2023,FINAL,CA,1880,82
2022-2023,FINAL,CA,1881,94
2022-2023,FINAL,CA,1882,97.5
2022-2023,FINAL,CA,1883,78
2022-2023,FINAL,CA,1884,64
